,Azcapotzalco,Coyoacan,Cuajimalpa de Morelos,Gustavo A. Madero,Iztacalco,Iztapalapa,La Magdalena Contreras,Milpa Alta,Alvaro Obregon,Tlahuac,Tlalpan,Xochimilco,Benito Juarez,Cuauhtemoc,Miguel Hidalgo,Venustiano Carranza,Tizayuca,Apaxco,Atizapan de Zaragoza,Coacalco de Berriozabal,Cuautitlan,Chalco,Chicoloapan,Chimalhuacan,Ecatepec de Morelos,Huehuetoca,Huixquilucan,Ixtapaluca,Jaltenco,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,La Paz,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tlalnepantla de Baz,Tultepec,Tultitlan,Zumpango,Cuautitlan Izcalli,Valle de Chalco Solidaridad
Chalco,1583,5374,378,2947,5130,18060,638,950,2193,7488,2042,3092,3115,15009,6171,6619,296,0,96,302,0,542816,780,1288,1523,113,0,42635,0,2225,7891,0,8144,3436,116,35974,0,0,0,795,0,871,0,324,0,196,23091
Chicoloapan,2149,4176,584,2541,6340,15482,316,72,1171,1637,1520,645,8208,16975,4710,8059,0,0,386,0,0,868,294182,76575,1886,0,0,4708,140,757,12300,0,0,17881,210,90,0,210,144,29469,865,584,0,0,0,462,258
Chimalhuacan,2457,12418,1124,8051,13447,28987,692,0,3685,663,4349,2431,10635,58893,14861,30374,432,189,518,387,799,1017,76304,789724,6433,0,210,4525,0,3312,93452,0,0,24824,477,815,0,90,280,9547,791,1372,226,435,127,318,3311
Ecatepec de Morelos,28543,30131,4411,154551,13728,19327,3353,122,9356,980,8242,2888,30607,145854,48465,56260,10121,349,3380,44148,5045,952,2171,6251,3034911,959,1706,2445,12952,14341,53689,735,258,891,81184,61,396,13555,994,18118,24704,48806,12592,21117,6004,5411,756
Huehuetoca,2262,564,137,1221,206,313,152,0,431,0,336,0,223,4126,779,1020,573,993,2281,0,7381,316,0,0,1416,190769,70,0,0,2742,928,0,0,0,768,0,6655,0,1810,36,0,3935,210,2881,9658,6793,0
Huixquilucan,1271,615,1618,930,650,858,213,0,2140,0,124,240,1162,3863,11145,275,0,0,959,238,0,0,0,210,1941,139,53925,101,144,72692,316,1199,0,294,151,0,0,0,0,123,0,787,0,317,0,1029,504
Ixtapaluca,3356,6630,1771,7714,10662,32317,1742,499,2492,2015,2407,1752,12144,35097,9191,13419,0,0,638,182,0,42720,3608,4036,2233,0,101,859080,114,2149,13467,0,1708,18946,350,4776,0,0,0,2525,162,856,178,220,0,98,24127
Jaltenco,1330,2328,946,5998,608,884,415,0,779,0,124,248,1242,4292,4501,60,118,0,703,29098,3218,0,0,0,13906,133,0,114,121262,4014,390,260,0,0,1022,0,0,0,510,686,220,4629,7171,38350,681,2676,0
Naucalpan de Juarez,38072,13947,46121,20747,2261,9904,5154,199,17114,775,7552,1295,16923,50924,110318,7802,528,198,72537,11319,5866,2003,757,3635,13275,2257,67373,2358,3755,1171770,4574,26716,0,2156,2066,398,866,199,2034,407,138,71509,4080,17751,1447,20294,1709
Nezahualcoyotl,10929,28387,3197,76003,37394,109817,2644,121,7014,3297,11874,5609,31164,138659,38622,97379,920,0,1552,1300,1112,9055,12780,91816,52419,788,371,11153,390,5651,1648158,622,107,37829,2650,660,104,534,128,6603,2059,3885,242,2338,237,1195,8712
