region,1,2,3,4,5,6,7,8
1,2744337,452729,590431,263856,390438,32977,753330,178015
2,509077,2647143,267998,76966,31842,162155,129983,213882
3,665968,338537,4854089,31959,113621,95861,68238,25228
4,335266,92594,37230,3683276,81938,4314,1726887,65218
5,442351,28933,101218,86561,3374045,2074,253374,9621
6,33986,168705,95995,3889,1827,964579,4868,46747
7,679803,112631,75159,248802,194992,4919,3466845,103505
8,184483,228022,26906,84270,10900,43970,63105,2624292
