region,1,2,3,4,5,6,7,8
1,1688238,273637,351325,193719,271016,22985,429683,115978
2,277622,1655793,195118,53514,27563,106646,82499,133687
3,360462,200041,2098348,22524,73171,51792,51375,24147
4,197153,54710,21768,2079128,69490,3208,194985,63053
5,273040,27178,71326,68200,1733832,1669,160690,8782
6,24796,108730,56976,3738,1955,493287,3285,34739
7,437590,83259,49391,189880,158471,3157,1743454,46702
8,119354,134661,22712,61441,7741,34518,48467,1636357
