,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango
Cuajimalpa de Morelos,38313,114,1065,1449,8538,248,292,563,584,6857,147187,10933,442,665,2890,3168,0,795,729,1382,4649,591,3222,531,26751,157,30040,1850,251,0,348,48,74,0,0,0,104,0,303,1941,4532,430,56,549,2111,1402,0,27630,171,607,713,4629,28,568,327,93,3339,90548,7627,198,382,1439,1093,0,536,633,957,2116,473,4614,283,11842,246,14645,1369,389,0,0,24,0,0,0,0,176,0,167,834,2160,656,202,677,1486,369,0,17210,106,378,444,2883,17,353,203,57,2079,56401,4750,123,237,896,680,0,333,394,596,1318,294,2873,176,7376,153,9122,852,242,0,0,14,0,0,0,0,109,0,104,519,1345,408,125,421,925,229,0
Cuauhtemoc,52182,141,12041,33931,101480,8198,8262,31360,7318,66966,10387,685723,4783,8502,83397,130188,2475,1505,20453,45621,142079,2003,19866,11546,102784,4176,28359,75577,3596,635,13012,854,648,2200,635,4078,1294,1267,11908,26124,42333,3449,9300,10115,114870,22273,1228,32558,400,9614,24440,59063,5304,7289,26006,5567,42906,7784,380824,2724,4763,55752,87717,1972,1467,13649,29944,97714,1601,14636,7626,66033,4224,23560,58435,3454,588,8760,1580,743,1022,1358,2076,2362,884,10288,20318,28376,3667,6770,7418,79068,15003,1922,20279,249,5988,15223,36789,3303,4540,16198,3467,26725,4848,237210,1696,2966,34727,54637,1228,913,8501,18651,60864,997,9116,4750,41131,2631,14675,36398,2151,366,5456,984,462,636,845,1293,1471,550,6408,12655,17675,2284,4216,4620,49250,9345,1197
Cuautitlan,665,441,3679,2641,2201,0,0,410,4474,717,442,4845,156689,30717,3332,2529,3651,0,0,90,496,1474,206,0,3178,0,4776,710,1480,0,352,0,6536,118,10461,68,134,105,0,7709,152,12579,32343,244,795,232,2436,198,0,1772,1288,1324,0,0,389,1779,344,198,2795,62993,19487,1475,1926,2465,0,0,200,247,1382,187,0,1174,0,1639,402,628,0,377,0,5570,118,5867,218,207,105,0,6238,107,5985,15937,217,288,68,1587,123,0,1103,802,824,0,0,242,1108,214,123,1740,39237,12138,918,1199,1535,0,0,124,153,860,116,0,731,0,1020,250,391,0,234,0,3469,73,3654,135,128,65,0,3885,66,3727,9926,135,179,42,988
Cuautitlan Izcalli,1459,318,19544,5208,1820,125,138,222,3710,1690,923,8356,31372,415898,3236,6993,3809,724,49,550,1439,1587,554,131,9316,0,12698,941,16731,0,361,0,2501,254,10812,218,0,0,0,19021,1219,5741,21181,128,478,299,1521,383,80,11956,4232,1351,71,324,0,3285,1812,360,5406,18202,261827,2682,5647,2276,417,49,674,1257,825,221,338,4747,0,7764,524,7911,128,833,0,1030,810,10740,90,0,98,0,14264,779,2986,17933,0,1318,241,979,238,49,7447,2636,841,44,201,0,2046,1128,224,3367,11337,163088,1670,3517,1417,259,30,419,782,513,137,210,2956,0,4836,326,4927,79,518,0,641,504,6689,56,0,61,0,8884,485,1859,11170,0,820,150,609
Ecatepec de Morelos,6057,252,1407,18442,18878,559,1400,3305,28661,20890,3247,86385,3277,3051,1930552,94663,226,517,772,7148,9020,6905,1162,305,31246,0,9486,32753,267,0,49480,0,288,5373,352,9127,14148,5679,419,28192,4957,6149,12592,410,32601,1623,3181,3299,97,1973,10101,11729,393,771,2946,15487,9241,1164,59469,1768,2360,1104359,59888,733,1189,1673,6580,10307,6047,2191,586,17219,122,4855,20936,468,258,31704,61,108,8182,642,8991,10556,4442,561,20614,3285,6443,8525,346,23659,1265,2823,2054,60,1228,6291,7305,244,480,1835,9646,5756,725,37042,1101,1470,687890,37303,456,740,1042,4098,6420,3766,1364,365,10725,75,3024,13040,291,160,19747,37,67,5096,399,5600,6575,2766,349,12840,2046,4013,5310,215,14736,787,1758
Gustavo A. Madero,8153,350,5680,47059,28391,1216,1386,4773,4606,22409,3148,129710,2896,6844,93679,1102167,474,577,4038,7677,22120,4099,2170,1757,46577,249,13626,50598,2926,204,8694,76,219,3103,1106,1711,598,2668,2338,63540,7897,1773,5511,2463,56729,2587,781,3853,385,2873,27512,15866,1856,1463,2653,3432,10357,1426,88336,1042,5960,59469,665746,613,315,3627,6121,13712,2350,977,1359,24640,670,7346,23452,2049,0,6550,0,140,3200,384,1745,415,1340,2578,38247,7168,2666,2961,1310,40330,3488,543,2399,239,1789,17136,9882,1156,911,1652,2137,6451,888,55023,649,3712,37042,414684,381,196,2259,3812,8541,1463,608,846,15347,417,4575,14607,1276,0,4079,0,87,1993,239,1086,258,834,1605,23823,4464,1660,1844,815,25121,2172,338
Huehuetoca,431,493,1110,1396,223,0,0,0,0,349,137,2474,4800,4081,360,747,132664,70,0,206,0,0,152,0,493,0,2006,458,0,0,488,0,4556,0,1124,0,0,573,0,2139,336,144,1412,0,653,0,5186,0,500,1171,866,0,316,0,0,0,215,0,1652,2581,2712,1056,474,58105,0,0,0,313,0,0,0,286,0,736,470,0,0,280,0,2099,0,686,36,0,0,0,1796,0,66,1469,0,367,0,4472,0,311,729,539,0,196,0,0,0,133,0,1029,1607,1689,657,295,36192,0,0,0,194,0,0,0,178,0,458,292,0,0,174,0,1307,0,427,22,0,0,0,1118,0,41,915,0,228,0,2785
Huixquilucan,1004,0,587,701,758,0,0,105,238,415,952,2094,0,612,470,471,0,41290,0,392,151,144,90,147,7195,0,52033,158,676,0,40,0,0,0,0,61,0,0,0,476,0,0,261,235,275,240,0,1136,0,372,570,404,0,0,105,0,200,666,1769,0,417,1471,459,139,12635,101,258,707,0,123,147,3950,0,20659,158,523,0,111,0,0,0,0,62,0,0,0,311,124,0,56,269,0,0,0,707,0,231,355,251,0,0,65,0,124,414,1101,0,259,916,285,86,7870,62,160,440,0,76,91,2460,0,12868,98,325,0,69,0,0,0,0,38,0,0,0,193,77,0,34,167,0,0,0
Ixtapaluca,1377,0,181,2063,7496,24036,1750,1522,95,4432,1015,20654,0,49,880,3791,0,0,549151,5819,18896,114,925,10239,5466,499,1223,7883,0,890,0,2552,0,0,0,1571,162,0,1048,527,1396,0,110,14470,7494,1123,0,1115,0,457,1293,4648,18684,1858,2514,87,2198,756,14443,0,49,1353,3923,0,101,309929,4843,13421,0,817,8707,3725,0,926,5584,0,818,350,2224,0,0,0,954,0,0,967,329,1011,178,110,9657,5925,629,0,694,0,284,805,2895,11638,1157,1565,54,1369,470,8996,0,30,842,2443,0,62,193050,3016,8359,0,508,5423,2320,0,576,3478,0,509,218,1385,0,0,0,594,0,0,602,204,629,110,68,6015,3690,391,0
Iztacalco,5255,0,213,2520,31214,2677,3859,6908,254,16564,1252,45368,198,644,6388,7368,206,392,5504,269854,115495,242,1729,4066,10552,522,1629,24181,167,0,1122,715,0,509,0,240,0,135,4493,1431,7339,227,873,2758,21563,4948,178,3087,0,67,1814,20463,1099,2430,6480,311,10903,980,30392,328,620,5316,5865,0,258,5258,179964,89429,118,1527,3965,5566,338,624,14798,0,129,1458,302,0,297,0,1140,0,260,2219,842,7035,0,644,2420,18542,4377,0,1922,0,41,1129,12746,684,1513,4036,193,6791,610,18930,204,386,3311,3653,0,160,3275,112097,55704,73,951,2469,3466,210,388,9217,0,80,908,188,0,184,0,710,0,161,1382,524,4382,0,401,1507,11549,2726,0
