,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango
Iztapalapa,15371,136,813,9732,94731,9516,7802,16711,703,142445,4658,143271,341,1783,7811,23556,0,337,18707,115752,1779367,140,9613,25376,39939,5001,5975,70019,176,686,2733,1889,0,767,0,2816,97,360,61682,2904,57357,256,1520,11465,42508,21605,0,12057,55,802,4710,61486,7107,6950,10727,1343,75065,2054,98178,386,1294,8991,14499,0,324,12004,90931,1039593,708,6197,16737,20453,3720,4697,39148,96,407,2260,622,0,645,75,2994,241,1120,48912,1233,33661,280,1234,11820,29700,17555,172,7510,34,499,2933,38298,4426,4329,6681,836,46756,1279,61153,240,806,5600,9031,0,201,7477,56639,647548,441,3860,10425,12739,2317,2925,24384,59,253,1407,387,0,401,46,1864,150,697,30466,768,20966,174,768,7362,18499,10934,107
Jaltenco,410,0,347,366,746,0,0,0,17937,1478,473,2406,1717,1719,7418,3650,133,0,114,490,140,73883,130,0,2803,0,2235,390,130,0,709,0,0,0,244,388,152,0,0,2523,0,3981,21723,0,60,124,410,369,0,356,964,496,0,0,0,11161,850,473,1886,1501,957,6488,2348,0,0,0,118,744,47379,285,0,1698,0,1779,0,130,0,313,0,0,0,266,298,68,118,0,2106,124,3190,16627,0,0,124,271,229,0,221,600,308,0,0,0,6952,529,294,1174,934,596,4041,1462,0,0,0,73,463,29511,177,0,1057,0,1108,0,80,0,194,0,0,0,165,185,42,73,0,1311,77,1987,10356,0,0,77,168
La Magdalena Contreras,32461,0,113,1250,24913,271,79,121,216,71705,3291,20735,327,554,1216,2060,0,90,931,1728,9684,0,284136,579,12428,412,2545,1803,144,0,331,249,0,0,0,325,0,97,1256,982,54292,68,137,531,2283,4621,93,21058,0,363,1225,12319,239,237,259,488,45654,4057,15114,187,221,1962,1580,0,123,1000,1421,6139,0,152531,103,6230,1320,2130,560,0,105,0,0,96,0,0,556,0,0,714,661,37176,302,468,104,1903,4550,0,13116,0,226,763,7673,148,147,161,303,28437,2527,9414,116,137,1222,984,0,76,622,885,3823,0,95009,64,3880,822,1326,348,0,65,0,0,59,0,0,346,0,0,444,411,23156,188,291,64,1185,2834,0
La Paz,804,0,91,2011,5948,1614,10325,13551,0,3050,606,11814,0,131,686,2016,0,147,10118,5034,26250,0,668,263572,3164,0,1159,21043,0,216,37,303,0,85,0,2648,202,0,1199,644,1521,141,0,2289,6149,584,0,185,0,0,1701,3273,1501,6268,11038,0,1543,283,7789,0,359,625,1961,0,0,7807,3200,17841,0,192,144614,3203,0,1278,16679,0,0,132,319,0,0,115,1858,0,164,848,751,2475,0,237,2296,6429,169,0,115,0,0,1059,2038,934,3904,6875,0,961,176,4851,0,223,389,1221,0,0,4862,1993,11112,0,119,90078,1995,0,796,10389,0,0,82,198,0,0,71,1157,0,102,528,467,1541,0,147,1430,4004,105,0
Miguel Hidalgo,61148,41,15621,69611,43537,3637,2675,8955,3734,30329,26733,101687,3072,8961,30349,45925,696,7168,4556,10614,38365,2803,12417,2898,422801,1146,72360,23495,6169,64,7020,568,390,997,842,527,185,1094,4566,22319,18254,1911,7966,4193,21272,6071,518,34022,79,6665,44030,17897,1895,1415,6206,2499,11982,11717,67249,1488,3313,16865,24246,284,3776,3387,5517,18104,1187,5604,3679,277725,1658,35418,13122,4503,0,6590,118,148,202,363,1075,28,740,2585,9058,8699,1622,3505,3410,14293,5001,203,21191,49,4151,27425,11147,1180,881,3865,1556,7463,7298,41888,926,2063,10504,15102,176,2352,2109,3436,11276,739,3490,2291,172991,1032,22061,8173,2804,0,4104,73,92,125,226,669,17,460,1610,5642,5418,1010,2183,2124,8902,3115,126
Milpa Alta,74,0,130,0,2801,469,72,0,0,5497,157,4668,0,0,0,249,0,0,227,434,4942,0,412,0,1179,161634,199,121,0,0,0,951,0,0,0,73,0,0,10317,78,5438,0,0,773,861,13118,0,95,0,0,126,1094,356,0,0,0,4274,0,4698,0,0,0,687,0,0,272,250,3920,0,871,0,1128,110350,0,232,0,0,0,634,0,0,0,73,0,0,5869,100,2885,0,0,675,801,10118,0,59,0,0,78,681,221,0,0,0,2662,0,2926,0,0,0,427,0,0,169,155,2441,0,542,0,702,68735,0,144,0,0,0,394,0,0,0,45,0,0,3655,62,1797,0,0,420,498,6302,0
Naucalpan de Juarez,10357,106,41282,23049,10179,1255,436,1825,6601,9805,30204,28248,4129,12073,8839,13735,1333,47836,1339,1637,6000,2020,3062,975,74250,199,776205,3374,17181,0,1444,199,569,0,1154,231,106,318,494,46162,4131,2429,11818,1061,4987,802,979,6757,92,31255,15023,6744,748,321,1810,4718,4142,15917,22676,1737,8221,4436,7012,924,19537,1019,624,3904,1735,2092,1181,36068,0,395565,1200,9535,0,622,199,297,199,880,176,32,210,281,25347,3421,1651,5933,648,2815,493,468,4208,57,19468,9357,4200,465,199,1127,2938,2579,9914,14124,1081,5120,2763,4367,575,12169,634,388,2431,1080,1303,735,22466,0,246392,747,5939,0,387,123,184,123,548,109,19,130,175,15788,2130,1028,3695,403,1753,307,291
Nezahualcoyotl,4940,0,877,6301,19017,3955,6937,48361,646,19130,1996,78778,710,941,32593,51847,318,213,6288,22698,71370,390,1803,21346,24303,121,3820,1037101,622,0,850,439,0,108,100,3373,1050,399,2041,2261,7599,162,841,4387,58647,2801,237,2074,0,675,4628,12147,5100,5843,43455,654,9257,1201,59881,402,254,19826,24156,470,158,4865,14696,38447,0,841,16483,14319,0,1831,611057,0,107,1800,221,104,426,28,3230,1009,521,1256,1624,4275,80,1497,4325,38732,2808,0,1291,0,420,2882,7566,3176,3639,27067,407,5766,748,37299,250,158,12349,15046,292,98,3030,9153,23948,0,523,10267,8919,0,1140,380619,0,66,1121,137,64,265,17,2011,628,324,782,1011,2662,49,932,2693,24125,1749,0
Nicolas Romero,373,0,40555,5431,460,0,0,0,82,997,482,3802,1893,16994,196,2818,0,457,0,167,176,223,144,0,6940,0,17621,728,309446,0,0,0,0,0,2870,0,0,164,77,16416,707,0,688,0,593,195,122,597,0,26973,2942,516,0,0,0,0,335,389,3488,685,8288,700,2476,0,79,72,0,174,0,0,0,4708,0,9852,0,147010,0,0,0,0,0,2850,0,0,912,0,9053,458,57,809,0,591,633,67,371,0,16801,1832,321,0,0,0,0,208,242,2172,426,5162,436,1542,0,49,44,0,108,0,0,0,2932,0,6136,0,91570,0,0,0,0,0,1775,0,0,568,0,5638,285,35,503,0,368,394,41
Ozumba,90,0,0,64,435,5111,0,0,0,162,0,635,0,0,0,204,0,0,1114,0,603,0,0,216,64,0,0,0,0,155438,0,4397,0,0,0,0,0,0,81,95,0,0,0,436,546,0,0,0,0,0,0,315,2597,0,0,0,115,0,588,0,0,0,0,0,0,867,0,364,0,0,0,0,0,0,255,0,47997,0,1125,0,0,0,0,0,0,81,0,0,0,0,414,465,0,0,0,0,0,0,196,1617,0,0,0,71,0,366,0,0,0,0,0,0,540,0,226,0,0,0,0,0,0,158,0,29896,0,700,0,0,0,0,0,0,50,0,0,0,0,257,289,0,0
Tecamac,1262,1024,339,2966,3469,116,0,105,2143,2543,348,13267,523,361,47921,9008,510,0,0,1082,2662,709,331,37,8349,0,1638,976,0,0,392243,0,0,3502,24,1600,505,10450,125,1881,460,851,1803,111,2733,180,18431,644,864,0,1923,1541,0,0,372,1532,1172,0,9042,548,893,31840,6353,258,151,113,1349,2236,313,0,103,6131,0,398,1419,0,0,199255,0,0,4975,77,544,849,9166,0,2018,151,277,1389,262,2330,0,7957,401,538,0,1197,959,0,0,231,954,730,0,5632,341,556,19832,3957,160,94,70,840,1392,194,0,64,3818,0,247,883,0,0,124113,0,0,3098,47,338,528,5709,0,1256,94,172,865,163,1451,0,4956
Temamatla,492,0,160,74,920,23846,90,377,0,873,0,1053,0,0,0,243,0,0,2347,715,2004,0,249,303,739,951,199,580,0,4577,0,76809,0,0,0,137,0,0,1326,0,240,0,0,1142,1109,0,0,308,0,0,74,449,10801,0,438,93,603,0,1419,0,0,61,167,0,0,2331,302,557,0,0,319,228,634,199,221,0,1281,0,31969,0,0,0,24,0,0,647,0,160,0,0,522,1010,0,0,191,0,0,46,279,6727,0,272,57,375,0,883,0,0,37,104,0,0,1451,188,346,0,0,198,142,394,123,137,0,797,0,19913,0,0,0,14,0,0,403,0,99,0,0,325,629,0,0
Teoloyucan,92,41,31,658,0,0,0,0,0,68,74,1032,7753,2699,380,219,4253,0,0,0,0,0,0,0,434,0,805,0,0,0,0,0,78533,0,6669,0,0,0,0,960,0,558,2231,121,44,0,474,0,0,44,406,0,0,0,0,0,44,0,743,5449,1030,108,212,2178,0,0,0,0,0,96,0,148,0,297,0,0,0,0,0,30874,0,2544,270,0,0,0,362,212,68,1588,0,67,0,829,0,0,27,252,0,0,0,0,0,27,0,462,3394,641,67,132,1356,0,0,0,0,0,59,0,92,0,184,0,0,0,0,0,19230,0,1584,168,0,0,0,225,132,42,989,0,41,0,516
Teotihuacan,0,0,320,923,232,0,0,45,57,374,103,2267,118,254,6098,3369,188,0,0,433,658,0,0,69,997,0,0,108,0,61,4431,0,0,203247,0,9672,2828,2692,0,0,320,0,173,0,0,127,504,0,0,0,505,82,0,0,45,0,422,103,852,118,683,7766,2665,0,0,0,213,645,0,0,0,202,0,47,426,0,61,5356,0,0,125705,0,6550,3247,2692,0,103,0,252,220,0,0,0,0,0,0,0,314,51,0,0,28,0,262,64,530,73,425,4837,1659,0,0,0,132,401,0,0,0,125,0,29,265,0,37,3336,0,0,78299,0,4079,2022,1676,0,64,0,156,137,0,0,0,0
Tepotzotlan,0,0,804,1024,139,0,72,135,92,97,47,707,10565,10959,297,1106,1195,0,0,109,0,244,0,0,723,0,1154,0,2969,0,166,0,6485,0,116685,0,0,57,0,1336,0,119,1226,0,0,0,670,127,0,592,561,0,0,72,145,68,276,0,1358,5832,10168,726,137,605,0,0,0,75,120,0,0,270,0,711,0,2705,0,24,0,2073,0,71822,0,0,0,0,1569,555,1016,1867,0,0,0,391,79,0,368,349,0,0,44,90,42,171,0,845,3632,6333,452,85,376,0,0,0,46,74,0,0,168,0,442,0,1684,0,14,0,1291,0,44736,0,0,0,0,977,345,632,1162,0,0,0,243
Texcoco,268,0,33,605,437,109,15593,5128,478,964,0,4241,148,128,8681,1829,0,61,1145,244,2610,388,217,3032,527,73,231,3021,39,0,1527,137,0,9150,0,389607,21771,206,97,486,516,148,59,107,2496,326,283,0,0,500,106,464,505,15640,4020,406,430,69,2429,143,90,9058,1500,36,62,974,1004,2992,298,901,1775,547,73,58,3108,53,0,883,24,270,7329,0,244598,13424,309,925,201,712,148,0,107,988,73,213,0,0,311,66,289,314,9741,2504,252,267,42,1512,89,56,5642,934,22,38,606,625,1863,185,561,1105,340,45,36,1935,33,0,550,14,168,4565,0,152356,8361,192,576,125,443,92,0,66,615,45,132
Tezoyuca,312,0,92,260,200,0,441,485,265,343,104,1421,134,0,15044,844,0,0,162,165,97,152,0,202,185,0,106,1050,0,0,505,0,0,2406,0,21385,82327,57,0,304,111,0,0,0,633,0,0,127,0,0,483,0,0,424,264,144,67,104,1786,81,0,11648,415,0,0,0,0,350,68,0,0,0,0,32,912,0,72,849,0,0,2914,0,13504,57250,57,0,127,58,0,334,0,663,0,72,79,0,0,300,0,0,264,164,89,41,64,1112,50,0,7255,258,0,0,0,0,218,42,0,0,0,0,19,568,0,44,528,0,0,1815,0,8411,35660,35,0,79,36,0,208,0,412,0,44
Tizayuca,281,3414,220,736,492,0,0,111,452,0,0,1267,105,0,5033,2557,573,0,0,135,365,0,97,0,1094,0,318,399,164,0,10417,0,0,2692,57,206,57,159591,0,688,426,0,0,0,1141,0,1025,281,4010,0,569,320,0,0,321,0,246,0,946,105,172,4140,1920,0,0,0,0,671,118,0,164,740,0,210,463,912,0,8534,0,0,1926,0,309,57,86315,0,507,976,0,342,0,477,0,1679,175,2497,0,354,199,0,0,199,0,153,0,589,65,107,2578,1195,0,0,0,0,417,73,0,102,460,0,130,288,568,0,5315,0,0,1199,0,192,35,53764,0,315,607,0,213,0,297,0,1045
Tlahuac,1550,0,0,666,9348,3532,1068,262,44,20640,548,12801,74,0,417,2303,0,0,972,5224,62085,0,1588,1303,4818,10184,691,2448,0,236,125,1326,0,0,0,191,0,0,379810,457,10220,0,0,4118,2322,22186,135,1338,0,0,629,6322,4534,333,401,0,10555,299,10361,0,372,663,2193,0,0,969,2244,49393,0,992,773,2567,5813,173,1482,77,81,125,647,0,0,0,130,0,0,245309,123,7923,64,0,2991,1942,23585,135,833,0,0,391,3937,2824,207,249,0,6574,186,6453,0,231,412,1365,0,0,603,1397,30766,0,617,481,1598,3620,107,923,47,50,77,403,0,0,0,80,0,0,152799,76,4935,39,0,1863,1209,14690,84
Tlalnepantla de Baz,2461,189,58223,34551,7703,469,187,667,7761,6787,1941,26811,7648,19503,26863,64523,2005,476,429,1603,2389,2344,1216,132,22565,0,44593,2104,16384,95,2098,0,655,0,1658,447,304,688,568,455403,2107,5845,31526,522,3950,879,345,1916,106,37448,19561,2585,343,329,319,4724,2811,707,20640,5922,12710,19773,36782,1796,344,283,835,1153,1703,760,239,9987,211,26529,1513,8466,0,2233,0,577,619,1821,241,127,833,123,257390,2708,3511,18641,223,3129,479,128,1193,66,23325,12184,1610,213,204,198,2942,1750,440,12856,3688,7916,12316,22911,1118,214,176,520,718,1060,473,148,6220,131,16524,942,5273,0,1390,0,359,385,1134,150,79,518,76,160324,1686,2186,11611,138,1949,298,79
Tlalpan,16265,0,437,2976,35592,816,814,3076,426,129201,3710,43261,331,943,5084,7190,210,0,1313,6862,55248,0,54055,1747,18037,6014,4627,7262,549,0,348,240,0,320,0,516,111,426,9338,2051,501742,328,584,1318,6778,77017,0,10017,0,147,1929,22480,711,0,1594,266,89524,1916,27075,107,779,3272,7268,0,124,356,5901,34913,124,34415,2492,8943,3364,3729,4168,458,0,151,316,212,0,555,469,0,1105,7106,2980,330387,460,396,743,5938,54888,0,6239,0,91,1201,14002,442,0,992,165,55763,1193,16864,66,485,2038,4527,0,77,221,3675,21746,77,21436,1552,5570,2095,2322,2596,285,0,94,196,132,0,345,292,0,688,4426,1856,205793,286,246,462,3698,34188,0
Tultepec,160,128,1267,2885,1244,0,0,100,20064,862,678,3377,12708,5662,5492,1949,144,0,0,227,256,3857,68,141,1816,0,2805,276,0,0,851,0,466,0,119,148,0,0,0,6210,328,130086,22786,0,426,232,345,159,0,1333,2026,788,0,0,126,13301,744,656,4096,6615,3071,6370,2418,0,0,178,0,176,3926,302,0,1895,0,1871,240,130,0,754,0,0,328,1016,148,0,0,128,3844,460,59854,16221,64,499,0,1092,99,0,830,1261,490,0,0,78,8285,463,408,2551,4120,1912,3967,1506,0,0,110,0,109,2445,188,0,1180,0,1165,149,80,0,469,0,0,204,632,92,0,0,79,2394,286,37282,10103,39,310,0,680
Tultitlan,575,0,5164,10223,2685,0,0,257,21578,1847,56,10102,32341,20618,13286,6734,1354,365,110,1062,1776,22483,137,0,8099,0,12203,841,637,0,1779,0,2330,173,1502,59,0,0,0,33304,584,22607,345749,226,1518,224,1696,242,115,3494,4058,934,110,0,468,17239,600,642,6534,16753,17903,8334,2951,1469,56,318,763,893,17302,468,122,3267,0,6013,2187,573,0,992,0,1804,220,1292,0,334,342,0,20719,884,16041,168263,0,1262,0,695,150,71,2176,2527,581,68,0,291,10737,373,399,4069,10435,11151,5191,1838,915,34,198,475,556,10777,291,75,2034,0,3745,1362,356,0,617,0,1123,137,804,0,208,213,0,12905,550,9991,104808,0,786,0,432
Valle de Chalco Solidaridad,1091,0,0,1460,4316,14380,0,1936,85,2836,549,10474,244,128,410,2365,0,235,14144,3648,11666,0,523,2343,4111,864,1122,4378,0,361,111,1051,121,0,0,107,0,0,4700,614,1744,0,329,317728,6022,661,0,950,0,0,641,1951,9201,107,1860,0,1483,659,7579,302,0,346,1088,0,269,10149,2364,10817,0,104,2839,3771,766,979,4587,0,494,262,243,0,0,0,107,0,0,3300,125,1125,64,0,172324,4242,308,0,591,0,0,399,1215,5731,66,1158,0,923,410,4720,188,0,215,677,0,167,6321,1472,6737,0,64,1768,2348,477,609,2857,0,307,163,151,0,0,0,66,0,0,2055,77,700,39,0,107338,2642,191,0
Venustiano Carranza,6257,62,1251,8485,22429,3910,4221,14639,1958,16206,2172,114725,746,369,31589,56929,148,275,7375,21462,41617,60,2759,6397,20367,759,5003,57611,514,524,2596,1109,44,0,0,2217,536,1084,2297,3670,6950,294,1296,5236,387463,2398,266,6525,0,1240,4256,14039,2514,4016,14269,862,9347,1600,78248,247,1158,22938,41823,161,0,5229,18618,29707,0,1270,6759,13450,938,2354,35236,485,301,1854,1010,67,611,0,977,522,952,1791,2906,5078,499,917,3366,246970,1750,136,4064,0,772,2651,8744,1565,2501,8887,536,5822,996,48739,153,721,14287,26050,100,0,3257,11596,18504,0,791,4210,8377,584,1466,21948,302,187,1154,629,41,380,0,608,325,592,1115,1810,3163,310,571,2096,153834,1090,84
Xochimilco,2508,0,629,499,14058,1396,300,1129,0,43230,1473,22188,232,299,1600,2467,0,240,1123,4906,21665,124,4803,584,6069,13309,1297,2434,195,0,180,0,0,0,0,326,0,0,23084,690,77677,232,224,559,3214,462181,0,2425,0,360,702,7261,1081,138,1656,272,26295,458,16367,0,241,1294,3886,0,0,630,4113,16472,124,4419,169,4364,10650,811,2548,633,0,0,0,0,243,0,73,0,0,24414,395,55486,0,0,192,2603,311607,77,1510,0,224,437,4522,673,85,1031,169,16378,285,10194,0,150,806,2420,0,0,392,2561,10260,77,2752,105,2718,6633,505,1587,394,0,0,0,0,151,0,45,0,0,15207,246,34561,0,0,119,1621,194095,47
Zumpango,76,5259,0,780,105,0,0,0,402,782,0,1170,3193,1492,2997,777,4784,0,0,178,0,410,0,0,390,0,1088,102,122,0,18672,0,671,212,729,199,0,1025,135,539,0,294,1633,0,266,0,140291,76,4611,0,488,105,0,0,127,863,668,0,1634,2112,1734,2041,626,3135,0,0,0,0,211,0,0,461,0,1861,390,67,0,8228,0,1210,85,450,171,0,1679,135,100,0,962,874,0,266,0,76790,47,2872,0,303,65,0,0,79,537,416,0,1017,1315,1080,1271,389,1952,0,0,0,0,131,0,0,287,0,1159,242,41,0,5125,0,753,52,280,106,0,1045,84,62,0,599,544,0,165,0,47831
